K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,3,2,88,55,100,52,e93b2f5243dfc40302560ba4c0fe97d250cc9459c27ef2e400ed48f6d7339da6,e93b2f5243dfc40302560ba4c0fe97d250cc9459c27ef2e400ed48f6d7339da6,9d762aa8020a25a8f4e591bab9344ea17b59a28beb979bd456065898afaaa139
3,3,2,41,22,100,66,8a4216e208bbbee2a81b4417c90f464ec92f43c898a610185290461196c7bd85,8a4216e208bbbee2a81b4417c90f464ec92f43c898a610185290461196c7bd85,9ba7daa23daf8d5806e03b94d318f0ff83ee4bfd8046002acbdb2d4c0067a949
3,3,2,16,9,100,80,148c204f99669422e2e22bcf58496f44b857866c3c530af9fa7344a44360e214,148c204f99669422e2e22bcf58496f44b857866c3c530af9fa7344a44360e214,8d78bde2846a456f726c3b60b7a346b327a56238da651f24dc59e5ccb994d2be
3,3,2,49,25,100,72,5004e3898938282d551ffb3e950fbc8e82045f260d27b08061b409839cba0c43,5004e3898938282d551ffb3e950fbc8e82045f260d27b08061b409839cba0c43,7b06e170526492c59f3f17ae0c20bc69d79a16c23d20e7f8fea81ca9b0134667
3,3,2,27,13,100,47,e674c9e7f0214a0242b3d384681ec0c052a420d30c12aec6dda88060fb36706c,e674c9e7f0214a0242b3d384681ec0c052a420d30c12aec6dda88060fb36706c,1539b7312998529345930e2f625af89892d2c2590e7c80b59ab16268c34b98cb
3,3,2,58,27,100,88,26fa5965eafabf59c42c5104794844ad513d5ea1aba69e4de1e92d9e08e0d686,26fa5965eafabf59c42c5104794844ad513d5ea1aba69e4de1e92d9e08e0d686,b7f37a61a1bc0e42dd56dad96ecefe59a559e929384d0439921ac4a222e9060c
3,3,2,69,56,100,100,a33801673bff763b18a14a9fa7ab9a22e926c9fdae6e01625d948f12539af09f,a33801673bff763b18a14a9fa7ab9a22e926c9fdae6e01625d948f12539af09f,a33801673bff763b18a14a9fa7ab9a22e926c9fdae6e01625d948f12539af09f
3,3,2,34,19,100,83,9435f3da21c9ac6259655507fa5b5f74a070e865d43a0dcbd999eadc7a29b436,9435f3da21c9ac6259655507fa5b5f74a070e865d43a0dcbd999eadc7a29b436,e41a4ffb99d0a0c4ebcd8ef6308c83481babc45bc6ad36693bafdb67d340649e
3,3,3,102,55,100,75,eb5c8905ba87a01c042ad5b0907dacf93cab19a81c1199b2bc23406807805b83,eb5c8905ba87a01c042ad5b0907dacf93cab19a81c1199b2bc23406807805b83,206cd1dd59cdc4ae33c2e2c6595033c5d17b3e5ef527c20208cc0607b6c55161
3,3,3,36,20,100,70,f691ab3b186fe01abd487047526e95fe4efc54fe113c9389ecfb4e7f370e4e5f,f691ab3b186fe01abd487047526e95fe4efc54fe113c9389ecfb4e7f370e4e5f,3d5415c031226fea5e81511df93a59c17f6c761763214f1a6aff280b0ec947bf
